"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1339977";"";"";"Small molecule";"";"268.34";"7";"13";"0.47";"61.82";"7";"0";"0";"2";"N";"0.74";"None";"None";"1.33";"1.33";"2";"MOL";"-1";"18";"6";"0";"0";"268.0994";"-1.69";"NEUTRAL";"C11H16N4O2S";"CC(C)Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"BSHSZGZESMPNGE-UHFFFAOYSA-N"
"CHEMBL1927670";"";"8-{[(4-Bromophenyl)Methyl]Sulfanyl}Caffeine";"Small molecule";"";"395.28";"3";"11";"2.03";"61.82";"7";"0";"0";"3";"N";"0.64";"None";"None";"3.16";"3.16";"3";"MOL";"-1";"23";"6";"0";"0";"394.0099";"-1.76";"NEUTRAL";"C15H15BrN4O2S";"Cn1c(=O)c2c(nc(SCc3ccc(Br)cc3)n2C)n(C)c1=O";"WVALAYLVPWLNQN-UHFFFAOYSA-N"
"CHEMBL4564227";"";"";"Unknown";"";"254.31";"3";"6";"0.08";"61.82";"7";"0";"0";"2";"N";"0.71";"None";"None";"1.02";"1.02";"2";"MOL";"-1";"17";"6";"0";"0";"254.0837";"-1.90";"NEUTRAL";"C10H14N4O2S";"CCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"USJVLLPKULLJIL-UHFFFAOYSA-N"
"CHEMBL483243";"";"";"Small molecule";"";"332.79";"3";"5";"1.92";"56.22";"4";"0";"0";"2";"N";"0.83";"10.26";"4.39";"1.96";"1.96";"1";"MOL";"-1";"23";"6";"0";"0";"332.1040";"-0.42";"NEUTRAL";"C16H17ClN4O2";"CN1C(=O)C2C(N=C(/C=C/c3cccc(Cl)c3)N2C)N(C)C1=O";"SIKKJYKLUJCDNQ-BQYQJAHWSA-N"
"CHEMBL113";"CAFFEINE";"ANHYDROUS CAFFEINE|CAFFEINE|CAFFEINE ANHYDROUS|CAFFEINE MELTING POINT STANDARD|CAFFEINUM|COFFEINE|COFFEINUM|Cafcit|Caffeine|DURVITAN|FEMA NO. 2224|GUARANINE|METHYLTHEOBROMINE|NODOZ|NSC-5036|NoDoz Caplets and Chewable Tablets|PRO-PLUS|SYNALGOS|THEINE|VIVARIN|YEAST-VITE|ZANTHINE";"Small molecule";"4.0";"194.19";"211";"2858";"-1.03";"61.82";"6";"0";"0";"0";"N";"0.54";"None";"None";"-0.55";"-0.55";"2";"MOL";"0";"14";"6";"0";"0";"194.0804";"-1.09";"NEUTRAL";"C8H10N4O2";"Cn1c(=O)c2c(ncn2C)n(C)c1=O";"RYYVLZVUVIJVGH-UHFFFAOYSA-N"
"CHEMBL602880";"";"8-(3-Methoxybenzyloxy)Caffeine";"Small molecule";"";"330.34";"8";"17";"0.56";"80.28";"8";"0";"0";"4";"N";"0.70";"None";"None";"1.55";"1.55";"3";"MOL";"-1";"24";"8";"0";"0";"330.1328";"-1.05";"NEUTRAL";"C16H18N4O4";"COc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1";"SDEMBXFOALFRQD-UHFFFAOYSA-N"
"CHEMBL2206106";"";"8-[(3-Bromobenzyl)Sulfanyl]Caffeine";"Small molecule";"";"395.28";"3";"3";"2.03";"61.82";"7";"0";"0";"3";"N";"0.64";"None";"None";"3.16";"3.16";"3";"MOL";"-1";"23";"6";"0";"0";"394.0099";"-1.95";"NEUTRAL";"C15H15BrN4O2S";"Cn1c(=O)c2c(nc(SCc3cccc(Br)c3)n2C)n(C)c1=O";"YVLONOZAJRPKTM-UHFFFAOYSA-N"
"CHEMBL70246";"ACEFYLLINE";"ACEPHYLLINE|CAFFEINE CARBOXYLIC ACID|DOXOPHYLLINE METABOLITE M2|NSC-52996";"Small molecule";"4.0";"238.20";"5";"15";"-1.48";"99.12";"7";"1";"0";"2";"N";"0.69";"3.26";"None";"-1.07";"-4.50";"2";"MOL";"0";"17";"8";"1";"0";"238.0702";"-1.22";"ACID";"C9H10N4O4";"Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O";"HCYFGRCYSCXKNQ-UHFFFAOYSA-N"
"CHEMBL21053";"";"";"Small molecule";"";"270.29";"9";"24";"0.64";"61.82";"6";"0";"0";"1";"N";"0.65";"None";"None";"1.48";"1.48";"3";"MOL";"-1";"20";"6";"0";"0";"270.1117";"-1.25";"NEUTRAL";"C14H14N4O2";"Cn1c(=O)c2c(nc(-c3ccccc3)n2C)n(C)c1=O";"MBYIBRUTNFFDFL-UHFFFAOYSA-N"
"CHEMBL1461072";"";"8-{[(4-Fluorophenyl)Methyl]Sulfanyl}Caffeine";"Small molecule";"";"334.38";"7";"7";"1.40";"61.82";"7";"0";"0";"3";"N";"0.68";"None";"None";"2.53";"2.53";"3";"MOL";"-1";"23";"6";"0";"0";"334.0900";"-1.97";"NEUTRAL";"C15H15FN4O2S";"Cn1c(=O)c2c(nc(SCc3ccc(F)cc3)n2C)n(C)c1=O";"HGZQKVKWOSVDLJ-UHFFFAOYSA-N"
"CHEMBL2106660";"ACEFYLLINE PIPERAZINE";"ACEFYLLINE PIPERAZINE|ACEPIFYLLINE|DYNAPHYLLINE|EPICOPHYLLINE|ETAFILLINA|ETAPHYLLINE|ETOPHYLATE|PIPERAZINE THEOPHYLLINE ETHANOATE";"Small molecule";"4.0";"562.54";"";"";"-1.48";"99.12";"7";"1";"0";"2";"N";"0.69";"3.26";"None";"-1.07";"-4.50";"2";"MOL";"0";"17";"8";"1";"0";"238.0702";"-1.22";"ACID";"C22H30N10O8";"C1CNCCN1.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O.Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O";"HAAJFUJFGYCCPU-UHFFFAOYSA-N"
"CHEMBL2206108";"";"";"Small molecule";"";"409.31";"4";"4";"2.07";"61.82";"7";"0";"0";"4";"N";"0.62";"None";"None";"3.44";"3.44";"3";"MOL";"-1";"24";"6";"0";"0";"408.0256";"-1.57";"NEUTRAL";"C16H17BrN4O2S";"Cn1c(=O)c2c(nc(SCCc3ccc(Br)cc3)n2C)n(C)c1=O";"QLVOAICPMUYEEH-UHFFFAOYSA-N"
"CHEMBL2206099";"";"";"Small molecule";"";"425.31";"3";"3";"1.08";"84.88";"7";"0";"0";"4";"N";"0.59";"None";"None";"1.81";"1.81";"3";"MOL";"-1";"25";"7";"0";"0";"424.0205";"-0.75";"NEUTRAL";"C16H17BrN4O3S";"Cn1c(=O)c2c(nc([S+]([O-])CCc3ccc(Br)cc3)n2C)n(C)c1=O";"NVVHVVVKBKIYRD-UHFFFAOYSA-N"
"CHEMBL1927671";"";"8-{[(4-Methoxyphenyl)Methyl]Sulfanyl}Caffeine";"Small molecule";"";"346.41";"2";"2";"1.27";"71.05";"8";"0";"0";"4";"N";"0.67";"None";"None";"2.23";"2.23";"3";"MOL";"-1";"24";"7";"0";"0";"346.1100";"-1.58";"NEUTRAL";"C16H18N4O3S";"COc1ccc(CSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1";"ODUYDROMDFFYIL-UHFFFAOYSA-N"
"CHEMBL2206098";"";"";"Small molecule";"";"380.86";"3";"3";"0.97";"84.88";"7";"0";"0";"4";"N";"0.63";"None";"None";"1.64";"1.64";"3";"MOL";"-1";"25";"7";"0";"0";"380.0710";"-0.86";"NEUTRAL";"C16H17ClN4O3S";"Cn1c(=O)c2c(nc([S+]([O-])CCc3ccc(Cl)cc3)n2C)n(C)c1=O";"RXRCBGJUIBQYOP-UHFFFAOYSA-N"
"CHEMBL2206100";"";"";"Small molecule";"";"364.40";"3";"3";"0.46";"84.88";"7";"0";"0";"4";"N";"0.63";"None";"None";"1.18";"1.18";"3";"MOL";"-1";"25";"7";"0";"0";"364.1005";"-0.95";"NEUTRAL";"C16H17FN4O3S";"Cn1c(=O)c2c(nc([S+]([O-])CCc3ccc(F)cc3)n2C)n(C)c1=O";"XWQFLJCKGMEXTE-UHFFFAOYSA-N"
